Name,Platform,Genre,Critic_Score,User_Score,Rating
Call of Duty: World at War,X360,Shooter,84.0,7.6,M
Battlefield 3,X360,Shooter,84.0,7.4,M
Need for Speed Underground,PS2,Racing,85.0,8.6,E
Just Dance,Wii,Misc,49.0,8,E10+
Battlefield 3,PS3,Shooter,85.0,7.5,M
Fallout 4,PS4,Role-Playing,87.0,6.5,M
Tekken 3,PS,Fighting,96.0,9.1,T
The Legend of Zelda: Twilight Princess,Wii,Action,95.0,9,T
Crash Bandicoot 3: Warped,PS,Platform,91.0,8.9,E
Mario Kart 8,WiiU,Racing,88.0,9.1,E
Super Smash Bros. Melee,GC,Fighting,92.0,9.1,T
Need for Speed Underground 2,PS2,Racing,82.0,8.6,E
Medal of Honor: Frontline,PS2,Shooter,88.0,8.5,T
Just Dance 4,Wii,Misc,74.0,7.3,E10+
Gears of War 2,X360,Shooter,93.0,7.7,M
Uncharted 3: Drake's Deception,PS3,Action,92.0,8.3,T
Call of Duty 4: Modern Warfare,PS3,Shooter,94.0,8.4,M
Uncharted 2: Among Thieves,PS3,Action,96.0,8.8,T
Big Brain Academy,DS,Misc,74.0,7.4,E
Red Dead Redemption,PS3,Action,95.0,8.8,M
FIFA 14,PS3,Sports,86.0,4.3,E
Assassin's Creed III,PS3,Action,85.0,6.9,M
Donkey Kong Country Returns,Wii,Platform,87.0,8.6,E
Halo: Combat Evolved,XB,Shooter,97.0,8.6,M
The Elder Scrolls V: Skyrim,PS3,Role-Playing,92.0,6.4,M
Pokémon Emerald Version,GBA,Role-Playing,76.0,9,E
Kingdom Hearts,PS2,Role-Playing,85.0,8.8,E
Halo 3: ODST,X360,Shooter,83.0,7.1,M
Red Dead Redemption,X360,Action,95.0,9,M
Super Mario Sunshine,GC,Platform,92.0,8.6,E
World of Warcraft,PC,Role-Playing,93.0,7.3,T
Driver,PS,Action,87.0,8.1,T
Gears of War 3,X360,Shooter,91.0,7.8,M
Kinect Sports,X360,Sports,73.0,7.4,E10+
Gears of War,X360,Shooter,94.0,8.3,M
FIFA 15,PS4,Sports,82.0,5.7,E
Metal Gear Solid 2: Sons of Liberty,PS2,Action,96.0,8.7,M
Metal Gear Solid,PS,Action,94.0,9.4,M
Metal Gear Solid 4: Guns of the Patriots,PS3,Action,94.0,8.7,M
Final Fantasy XII,PS2,Role-Playing,92.0,7.6,T
The Last of Us,PS3,Action,95.0,9.1,M
LittleBigPlanet,PS3,Platform,95.0,6.8,E
Resident Evil 2,PS,Action,89.0,9.2,M
Dragon Quest IX: Sentinels of the Starry Skies,DS,Role-Playing,87.0,8.8,E10+
Tekken 2,PS,Fighting,89.0,8.9,T
Destiny,PS4,Shooter,76.0,6.1,T
LEGO Star Wars: The Complete Saga,Wii,Action,80.0,8.9,E10+
Cooking Mama,DS,Simulation,67.0,7.2,E
Assassin's Creed II,PS3,Action,91.0,8.6,M
Assassin's Creed,X360,Adventure,81.0,7.7,M
Forza Motorsport 3,X360,Racing,92.0,8,E
Super Mario Advance,GBA,Platform,84.0,7.8,E
Monster Hunter Freedom Unite,PSP,Role-Playing,81.0,8.7,T
Batman: Arkham City,PS3,Action,96.0,8.6,T
Grand Theft Auto V,XOne,Action,97.0,7.9,M
Mario Kart: Super Circuit,GBA,Racing,93.0,8.3,E
Crash Bandicoot: The Wrath of Cortex,PS2,Platform,66.0,7.1,E
Call of Duty: World at War,PS3,Shooter,85.0,7.6,M
Uncharted 4: A Thief's End,PS4,Shooter,93.0,7.9,T
Final Fantasy XIII,PS3,Role-Playing,83.0,7.3,T
Final Fantasy IX,PS,Role-Playing,94.0,8.9,T
Assassin's Creed III,X360,Action,84.0,6.7,M
Final Fantasy X-2,PS2,Role-Playing,85.0,6.6,T
Call of Duty: Advanced Warfare,XOne,Shooter,81.0,5.4,M
Assassin's Creed II,X360,Action,90.0,8.8,M
New Super Mario Bros. U,WiiU,Platform,84.0,8.1,E
Dragon Quest VIII: Journey of the Cursed King,PS2,Role-Playing,89.0,8.8,T
Professor Layton and the Curious Village,DS,Puzzle,85.0,8.6,E
FIFA Soccer 13,X360,Action,90.0,6.1,E
Diablo III,PC,Role-Playing,88.0,4,M
Medal of Honor: Rising Sun,PS2,Shooter,68.0,7.6,T
Guitar Hero II,PS2,Misc,92.0,8.5,T
Fable III,X360,Role-Playing,80.0,6.5,M
Resident Evil 5,PS3,Action,84.0,7.5,M
The Legend of Zelda: Phantom Hourglass,DS,Action,90.0,8,E
FIFA Soccer 11,PS3,Sports,89.0,8,E
Resident Evil,PS,Action,91.0,9,M
Grand Theft Auto: Vice City Stories,PSP,Action,86.0,8,M
Tony Hawk's Pro Skater,PS,Sports,92.0,9.2,T
Guitar Hero III: Legends of Rock,PS2,Misc,82.0,8.2,T
Link's Crossbow Training,Wii,Shooter,68.0,7.1,T
Fallout 3,X360,Role-Playing,93.0,8.5,M
Uncharted: Drake's Fortune,PS3,Action,88.0,8.1,T
Madden NFL 06,PS2,Sports,88.0,8,E
StarCraft II: Wings of Liberty,PC,Strategy,93.0,8.2,T
Assassin's Creed,PS3,Adventure,81.0,7.3,M
God of War III,PS3,Action,92.0,8.7,M
Crash Team Racing,PS,Racing,88.0,9,E
LEGO Star Wars: The Complete Saga,DS,Action,80.0,5.4,E
Driver 2,PS,Action,62.0,7.7,T
Batman: Arkham City,X360,Action,94.0,8.7,T
Tony Hawk's Pro Skater 2,PS,Sports,98.0,7.7,T
The Lord of the Rings: The Two Towers,PS2,Action,82.0,8.2,T
Tomb Raider,PS,Action,91.0,8.6,T
Animal Crossing: City Folk,Wii,Simulation,73.0,7.6,E
Uncharted: The Nathan Drake Collection,PS4,Action,86.0,8.1,T
The Legend of Zelda: The Wind Waker,GC,Action,96.0,8.9,E
Guitar Hero III: Legends of Rock,Wii,Misc,86.0,8.4,T
Luigi's Mansion: Dark Moon,3DS,Action,86.0,8.4,E
Forza Motorsport 4,X360,Racing,91.0,8.2,E
Madden NFL 2005,PS2,Sports,91.0,7.9,E
Guitar Hero III: Legends of Rock,X360,Misc,85.0,7.9,T
Madden NFL 07,PS2,Sports,84.0,8.2,E
Halo 5: Guardians,XOne,Shooter,84.0,6.4,T
Spider-Man: The Movie,PS2,Action,76.0,7.9,E
Call of Duty: Infinite Warfare,PS4,Shooter,77.0,3.4,M
God of War,PS2,Action,94.0,8.9,M
Splatoon,WiiU,Shooter,81.0,8.5,E10+
Nintendo Land,WiiU,Misc,77.0,7.9,E10+
Tony Hawk's Pro Skater 3,PS2,Sports,97.0,7.5,T
Winning Eleven: Pro Evolution Soccer 2007,PS2,Sports,86.0,8.9,E
The Elder Scrolls IV: Oblivion,X360,Role-Playing,94.0,8.7,M
Need for Speed: Most Wanted,PS2,Racing,82.0,9.1,T
Michael Jackson: The Experience,Wii,Misc,56.0,8.3,E10+
Resistance: Fall of Man,PS3,Shooter,86.0,8.1,M
Kingdom Hearts II,PS2,Role-Playing,87.0,9,E10+
Super Mario 3D World,WiiU,Platform,93.0,9,E
Fable II,X360,Role-Playing,89.0,6.5,M
Namco Museum,GBA,Misc,79.0,7.3,E
Batman: Arkham Asylum,PS3,Action,91.0,8.9,T
Metal Gear Solid 3: Snake Eater,PS2,Action,91.0,9.3,M
Assassin's Creed: Revelations,PS3,Action,80.0,7.5,M
Fallout 4,XOne,Role-Playing,88.0,6.2,M
FIFA 14,X360,Sports,84.0,4.2,E
Daxter,PSP,Platform,85.0,8.7,E10+
FIFA Soccer 06,PS2,Sports,80.0,7.8,E
EyeToy Play,PS2,Misc,80.0,7.5,E
Gran Turismo 5 Prologue,PS3,Racing,80.0,7.1,E
Assassin's Creed: Revelations,X360,Action,80.0,7.2,M
Street Fighter IV,PS3,Fighting,94.0,7.3,T
Madden NFL 2003,PS2,Sports,95.0,7.7,E
Half-Life,PC,Shooter,96.0,9.1,M
World of Warcraft: The Burning Crusade,PC,Role-Playing,91.0,7.9,T
Battlefield 1,PS4,Shooter,88.0,8.4,M
God of War II,PS2,Action,93.0,8.9,M
Fallout: New Vegas,X360,Role-Playing,84.0,8.1,M
Forza Motorsport 2,X360,Racing,90.0,8.3,E
Carnival Games,Wii,Misc,56.0,6,E
Watch Dogs,PS4,Action,80.0,6.3,M
Tekken Tag Tournament,PS2,Fighting,85.0,8.5,T
Far Cry 4,PS4,Shooter,85.0,7.7,M
Left 4 Dead 2,X360,Shooter,89.0,8.6,M
The Witcher 3: Wild Hunt,PS4,Role-Playing,92.0,9.2,M
Assassin's Creed: Unity,PS4,Action,70.0,4.9,M
Batman: Arkham Knight,PS4,Action,87.0,7.6,M
The Legend of Zelda: Skyward Sword,Wii,Action,93.0,8,E10+
Fallout 3,PS3,Role-Playing,90.0,8,M
Professor Layton and the Diabolical Box,DS,Puzzle,84.0,8.8,E10+
EA Sports Active,Wii,Sports,81.0,8.7,E
Tony Hawk's Underground,PS2,Sports,90.0,8.7,T
Monster Hunter 4 Ultimate,3DS,Role-Playing,86.0,8.7,T
The Elder Scrolls V: Skyrim,PC,Role-Playing,94.0,8.1,M
NBA 2K16,PS4,Sports,87.0,6.7,E10+
Tekken 5,PS2,Fighting,88.0,8.6,T
MotorStorm,PS3,Racing,84.0,7.4,T
World Soccer Winning Eleven 8 International,PS2,Sports,91.0,9.1,E
Sports Champions,PS3,Sports,76.0,7.9,E10+
Call of Duty: Ghosts,PS4,Shooter,78.0,3.7,M
Flash Focus: Vision Training in Minutes a Day,DS,Misc,59.0,4,E
Tom Clancy's The Division,PS4,Shooter,80.0,7,M
Big Brain Academy: Wii Degree,Wii,Misc,68.0,6.9,E
LEGO Indiana Jones: The Original Adventures,X360,Action,77.0,7.5,E10+
The Sims: Unleashed,PC,Simulation,79.0,8,T
Harry Potter and the Sorcerer's Stone,PS,Action,64.0,7.5,E
Super Paper Mario,Wii,Platform,85.0,7.9,E
Spyro: Year of the Dragon,PS,Platform,91.0,8.8,E
Assassin's Creed IV: Black Flag,PS3,Action,88.0,8.1,M
FIFA Soccer 2005,PS2,Sports,81.0,7.6,E
Tony Hawk's Pro Skater 4,PS2,Sports,94.0,8.5,T
MySims,DS,Simulation,67.0,7.3,E
Midnight Club 3: DUB Edition,PSP,Racing,74.0,8.4,E10+
SOCOM: U.S. Navy SEALs,PS2,Shooter,82.0,7.9,M
Jak and Daxter: The Precursor Legacy,PS2,Platform,90.0,8.7,E
Pro Evolution Soccer 2008,PS2,Sports,82.0,7.9,E
Resident Evil 4,PS2,Action,96.0,8.9,M
Guitar Hero: World Tour,Wii,Misc,86.0,7.6,T
FIFA Soccer 10,PS3,Sports,91.0,7.6,E
Star Wars: Battlefront,PS2,Shooter,82.0,8.7,T
The Simpsons: Road Rage,PS2,Racing,64.0,7.7,T
Luigi's Mansion,GC,Action,78.0,8.5,E
Battlefield 4,PS4,Shooter,85.0,6.9,M
Star Wars: Battlefront II,PS2,Shooter,84.0,9,T
Cooking Mama 2: Dinner With Friends,DS,Simulation,70.0,8,E
Grand Theft Auto: Liberty City Stories,PS2,Action,78.0,7.8,M
The Getaway,PS2,Action,72.0,6.8,M
James Bond 007: Agent Under Fire,PS2,Shooter,72.0,7.9,T
FIFA Soccer 11,X360,Sports,88.0,7.5,E
Left 4 Dead,X360,Shooter,89.0,7.9,M
Assassin's Creed: Unity,XOne,Action,72.0,4.1,M
Resident Evil 5,X360,Action,83.0,7.5,M
Assassin's Creed: Brotherhood,X360,Action,89.0,8.3,M
Battlefield 4,PS3,Shooter,80.0,5.8,M
Batman: Arkham Asylum,X360,Action,92.0,8.7,T
Battlefield 4,X360,Shooter,79.0,5.6,M
Battlefield: Bad Company 2,X360,Shooter,88.0,8.6,M
Guitar Hero: On Tour,DS,Misc,71.0,8.8,E10+
Clubhouse Games,DS,Misc,83.0,8.4,E
Borderlands,X360,Shooter,84.0,8.2,M
Tekken 4,PS2,Fighting,79.0,8.3,T
Grand Theft Auto 2,PS,Action,70.0,8,T
Metal Gear Solid V: The Phantom Pain,PS4,Action,93.0,8.2,M
Spider-Man 2,PS2,Action,80.0,8.9,T
FIFA Soccer 2003,PS2,Sports,88.0,6.7,E
LittleBigPlanet 2,PS3,Platform,91.0,8.4,E
Crash Bash,PS,Misc,68.0,8.2,E
Assassin's Creed Syndicate,PS4,Action,76.0,6.8,M
LEGO Batman: The Videogame,X360,Action,76.0,7.9,E10+
Destiny,XOne,Shooter,75.0,5.5,T
Far Cry 3,PS3,Shooter,90.0,8.5,M
James Bond 007: Nightfire,PS2,Shooter,77.0,8.5,T
Star Wars Episode III: Revenge of the Sith,PS2,Action,60.0,7.2,T
The Legend of Zelda: Spirit Tracks,DS,Action,87.0,7.8,E10+
Max Payne,PS2,Shooter,80.0,8.5,M
Assassin's Creed IV: Black Flag,X360,Action,86.0,7.9,M
The Lord of the Rings: The Return of the King,PS2,Action,85.0,8.7,T
Gears of War: Ultimate Edition,XOne,Shooter,82.0,7.5,M
True Crime: Streets of LA,PS2,Action,77.0,8,M
Professor Layton and the Unwound Future,DS,Puzzle,86.0,9.2,E10+
FIFA 16,XOne,Sports,84.0,4.4,E
Wii Music,Wii,Misc,63.0,4.6,E
Madden NFL 16,PS4,Sports,83.0,5.9,E
Gran Turismo 6,PS3,Racing,81.0,7.7,E
Halo: The Master Chief Collection,XOne,Shooter,85.0,7.2,M
Super Mario Maker,WiiU,Platform,88.0,8.7,E
God of War: Chains of Olympus,PSP,Action,91.0,8.6,M
Enter the Matrix,PS2,Action,62.0,8.1,T
Crisis Core: Final Fantasy VII,PSP,Role-Playing,83.0,8,T
Dance Central,X360,Misc,82.0,7.6,T
L.A. Noire,PS3,Adventure,89.0,7.7,M
Ace Combat 04: Shattered Skies,PS2,Simulation,89.0,9.1,E
Animal Crossing,GC,Simulation,87.0,8.9,E
FIFA Soccer 08,PS2,Sports,83.0,6.5,E
Spider-Man,PS,Action,87.0,9,E
Mario Party 9,Wii,Misc,73.0,6.8,E
Sonic Rush,DS,Platform,82.0,8.5,E
Rhythm Heaven,DS,Misc,83.0,9,E
Fallout: New Vegas,PS3,Role-Playing,82.0,7.8,M
Personal Trainer: Cooking,DS,Misc,81.0,7.8,E
The Elder Scrolls IV: Oblivion,PS3,Role-Playing,93.0,8,M
The Legend of Zelda: A Link Between Worlds,3DS,Action,91.0,8.9,E
Resident Evil 6,PS3,Shooter,74.0,5.4,M
Mass Effect 2,X360,Role-Playing,96.0,8.9,M
Dragon Ball Z: Budokai,PS2,Fighting,67.0,7.9,T
Madden NFL 2002,PS2,Sports,94.0,7.9,E
The Sims: Vacation,PC,Simulation,75.0,7.8,T
Animal Crossing: Happy Home Designer,3DS,Simulation,66.0,6.9,E
The Sims 4,PC,Simulation,70.0,3.9,T
Borderlands 2,X360,Shooter,89.0,8.2,M
LEGO Batman: The Videogame,DS,Action,72.0,8,E10+
Kung Fu Panda,X360,Action,75.0,7.4,E10+
Mass Effect 3,X360,Role-Playing,93.0,5.8,M
Heavy Rain,PS3,Adventure,87.0,7.7,M
Saints Row 2,X360,Action,81.0,8.1,M
Tom Clancy's Splinter Cell,XB,Action,93.0,8.5,T
FIFA 14,PS4,Sports,87.0,6.3,E
Killzone 2,PS3,Shooter,91.0,8.1,M
Far Cry 3,X360,Shooter,91.0,8.6,M
Epic Mickey,Wii,Platform,73.0,7,E
NBA 2K13,X360,Sports,88.0,7.2,E
Dragon Ball Z: Budokai Tenkaichi 3,PS2,Fighting,73.0,9.2,T
The Sims: Livin Large,PC,Misc,82.0,6.6,T
World Soccer Winning Eleven 6 International,PS2,Sports,93.0,9.1,E
Devil May Cry,PS2,Action,94.0,8.5,M
Star Wars: The Old Republic,PC,Role-Playing,85.0,5.9,T
Middle-Earth: Shadow of Mordor,PS4,Action,84.0,8.1,M
Sonic Heroes,PS2,Platform,64.0,7.8,E
Hitman 2: Silent Assassin,PS2,Action,85.0,7.8,M
Titanfall,XOne,Shooter,86.0,6.4,M
Battlefield: Bad Company 2,PS3,Shooter,88.0,8.5,M
SOCOM II: U.S. Navy SEALs,PS2,Shooter,87.0,9,M
Pac-Man Collection,GBA,Puzzle,79.0,7.8,E
Street Fighter IV,X360,Fighting,93.0,7.3,T
inFAMOUS,PS3,Action,85.0,8.3,T
Kirby Super Star Ultra,DS,Platform,76.0,8.8,E
Call of Duty: Ghosts,XOne,Shooter,78.0,4.3,M
Mass Effect,X360,Role-Playing,91.0,8.7,M
Sonic Mega Collection Plus,PS2,Misc,73.0,8.6,E
World Soccer Winning Eleven 7 International,PS2,Sports,93.0,9,E
Sega Superstars Tennis,X360,Sports,67.0,6.8,E10+
Hot Shots Golf 3,PS2,Sports,85.0,8.9,E
Cooking Mama: Cook Off,Wii,Simulation,61.0,5.3,E
Call of Duty: Finest Hour,PS2,Shooter,76.0,7.7,T
WarioWare: Smooth Moves,Wii,Puzzle,83.0,7.4,E10+
Madden NFL 13,X360,Sports,81.0,5.8,E
The Elder Scrolls III: Morrowind,XB,Role-Playing,87.0,8.7,T
Assassin's Creed IV: Black Flag,PS4,Action,83.0,7.8,M
Mortal Kombat,PS3,Fighting,84.0,8.4,M
Madden NFL 10,X360,Sports,85.0,6.1,E
BioShock,X360,Shooter,96.0,8.9,M
Metroid Prime,GC,Shooter,97.0,9.3,T
Assassin's Creed: Brotherhood,PS3,Action,90.0,8.2,M
Medal of Honor,PS3,Shooter,75.0,7.5,M
inFAMOUS: Second Son,PS4,Action,80.0,7.9,T
NBA Street,PS2,Sports,89.0,8.6,E
Jak II,PS2,Platform,87.0,8.2,T
Need for Speed: Hot Pursuit,PS3,Racing,89.0,7.2,E10+
Skylanders: Spyro's Adventure,Wii,Action,81.0,5.6,E10+
Battlefield 3,PC,Shooter,89.0,7.5,M
Mortal Kombat X,PS4,Fighting,83.0,7.7,M
The Sims,PS2,Simulation,83.0,7.7,T
Killzone 3,PS3,Shooter,84.0,7.9,M
Star Wars: The Force Unleashed,X360,Action,73.0,6.7,T
Yoshi's Island DS,DS,Platform,81.0,7.4,E
Saints Row: The Third,X360,Action,84.0,7.6,M
Tekken 6,PS3,Fighting,79.0,7.4,T
Sonic and the Secret Rings,Wii,Platform,69.0,6.6,E
The Legend of Zelda: A Link to the Past,GBA,Action,95.0,9.1,E
Onimusha: Warlords,PS2,Action,86.0,8.2,M
L.A. Noire,X360,Adventure,89.0,7.8,M
Call of Duty 3,X360,Shooter,82.0,6.5,T
Madden NFL 12,X360,Sports,78.0,5.9,E
LEGO Star Wars II: The Original Trilogy,PS2,Action,84.0,9,E10+
Killzone: Shadow Fall,PS4,Shooter,73.0,6.8,M
Madden NFL 11,X360,Sports,84.0,5.7,E
Burnout 3: Takedown,PS2,Racing,93.0,9.1,T
Mario vs. Donkey Kong: Mini-Land Mayhem!,DS,Puzzle,79.0,7.7,E
Professor Layton and the Last Specter,DS,Puzzle,83.0,8.7,E10+
Call Of Duty 2: Big Red One,PS2,Shooter,77.0,8.2,T
Medal of Honor,PS,Shooter,92.0,8.6,T
Fable,XB,Role-Playing,85.0,8.5,M
Guitar Hero: World Tour,X360,Misc,85.0,6.3,T
FIFA 17,XOne,Sports,84.0,5.5,E
Tom Clancy's Splinter Cell,PS2,Action,89.0,7.7,T
Need for Speed: Shift,PS3,Racing,84.0,6.9,E
Medal of Honor Heroes,PSP,Shooter,71.0,7.9,T
Final Fantasy XIII-2,PS3,Role-Playing,79.0,6.6,T
Midnight Club: Street Racing,PS2,Racing,78.0,7.8,T
Skate 3,X360,Sports,80.0,8,T
ESPN NFL 2K5,PS2,Sports,90.0,8.2,E
Halo Wars,X360,Strategy,82.0,7.2,T
NBA 2K12,X360,Sports,90.0,7.7,E
FIFA Soccer 10,X360,Sports,90.0,7.5,E
Medal of Honor,X360,Shooter,74.0,6.7,M
Harry Potter and the Chamber of Secrets,PS2,Action,71.0,7.6,E
God of War Collection,PS3,Action,91.0,8.7,M
NBA Live 2005,PS2,Sports,84.0,8.1,E
Mario Strikers Charged,Wii,Sports,79.0,8,E10+
FIFA Soccer 09,PS3,Sports,87.0,7.5,E
Style Savvy,DS,Simulation,73.0,7.7,E
WWE SmackDown vs. RAW 2007,PS2,Fighting,80.0,8.6,T
LEGO Star Wars: The Complete Saga,X360,Action,80.0,7.4,E10+
Madden NFL 08,PS2,Sports,78.0,7.8,E
Monster Hunter Freedom 2,PSP,Role-Playing,72.0,8.7,T
Sonic Adventure 2 Battle,GC,Platform,73.0,8.3,E
Madden NFL 13,PS3,Sports,83.0,5.5,E
Dragon Age: Origins,X360,Role-Playing,86.0,7.9,M
Pokémon Colosseum,GC,Role-Playing,73.0,8,E
LittleBigPlanet,PSP,Platform,87.0,7.8,E10+
Madden NFL 09,X360,Sports,83.0,7,E
Crazy Taxi,PS2,Racing,80.0,7.9,T
Art Academy,DS,Misc,75.0,8,E
NBA 2K14,X360,Sports,87.0,4.9,E
Skylanders Giants,Wii,Action,78.0,7,E10+
Deca Sports,Wii,Sports,50.0,5.4,E
Marvel: Ultimate Alliance,X360,Role-Playing,82.0,7.5,T
Mortal Kombat: Deadly Alliance,PS2,Fighting,79.0,8.8,M
Game Party,Wii,Misc,25.0,4.3,E
Bloodborne,PS4,Action,92.0,8.6,M
Mario Party 4,GC,Misc,70.0,7.4,E
Pure,X360,Racing,85.0,7.7,E
NBA 2K13,PS3,Sports,90.0,8,E
Saints Row: The Third,PS3,Action,82.0,7.7,M
Resistance 2,PS3,Shooter,87.0,6.1,M
NBA 2K15,PS4,Sports,83.0,7,E
Final Fantasy Tactics,PS,Role-Playing,83.0,8.2,T
Midnight Club: Los Angeles,PS3,Racing,82.0,8.2,T
The Sims: Bustin' Out,PS2,Simulation,81.0,8.4,T
LEGO Harry Potter: Years 1-4,Wii,Action,79.0,8,E10+
Call of Duty: Infinite Warfare,XOne,Shooter,78.0,3.1,M
Madden NFL 16,XOne,Sports,84.0,6.1,E
Tom Clancy's Rainbow Six: Vegas 2,X360,Shooter,82.0,7.8,M
Need for Speed Carbon: Own the City,PSP,Racing,73.0,7.9,E10+
Dragon Ball Z: Budokai 2,PS2,Fighting,66.0,8.2,T
pro evolution soccer 2011,PS3,Sports,77.0,6.8,E
ATV Offroad Fury,PS2,Racing,82.0,8.4,E
Need for Speed: ProStreet,PS2,Racing,62.0,6.2,E10+
Halo: Combat Evolved Anniversary,X360,Shooter,82.0,8.1,M
Guitar Hero,PS2,Misc,91.0,8.7,T
Madden NFL 11,PS3,Sports,83.0,6.1,E
Dead Island,X360,Action,71.0,6.9,M
Half-Life 2,PC,Shooter,96.0,9.1,M
The Incredibles,PS2,Action,62.0,7.6,T
Madden NFL 08,X360,Sports,85.0,6.4,E
Tony Hawk's Underground 2,PS2,Sports,83.0,8.8,T
Zumba Fitness,X360,Sports,42.0,5.5,E
Madden NFL 10,PS3,Sports,85.0,6.8,E
Midnight Club: Los Angeles,X360,Racing,81.0,8.5,T
Kinect: Disneyland Adventures,X360,Misc,73.0,2.9,E10+
WWE SmackDown vs Raw 2008,PS2,Fighting,71.0,7.2,T
The Legend of Zelda: Majora's Mask 3D,3DS,Action,89.0,9,E10+
Resident Evil - Code: Veronica X,PS2,Action,84.0,8.4,M
NBA 2K16,XOne,Sports,86.0,6.2,E10+
Kinect Sports: Season Two,X360,Sports,66.0,6.5,E
James Bond 007: Everything or Nothing,PS2,Shooter,84.0,9.1,T
Need For Speed: High Stakes,PS,Racing,86.0,8.5,E
Guild Wars 2,PC,Action,90.0,7.9,T
Paper Mario: Sticker Star,3DS,Role-Playing,75.0,5.6,E
Batman: Arkham Origins,PS3,Action,76.0,7.7,T
LEGO Star Wars: The Complete Saga,PS3,Action,80.0,6.7,E10+
Need for Speed Underground 2,XB,Racing,77.0,8.7,E
Pro Evolution Soccer 2010,PS3,Sports,78.0,6.7,E
FIFA Soccer 09,PS2,Sports,82.0,6.9,E
LEGO Harry Potter: Years 1-4,DS,Action,72.0,7.2,E10+
The Sims 3,X360,Simulation,76.0,7.1,T
Pokemon Ranger: Shadows of Almia,DS,Role-Playing,68.0,8.2,E
Dead Island,PS3,Action,71.0,6.6,M
